Fecha,Hora,Competicion,Local,Goles_local,Visitante,Goles_visitante,Estadio,Ciudad,En_casa,Total_goles_partido
DOM 23.11.2025,14:00,LALIGA HYPERMOTION,RC Deportivo,2,AD Ceuta FC,1,"('Abanca-Riazor', 32490)",La Coruña,True,3
DOM 16.11.2025,18:30,LALIGA HYPERMOTION,Córdoba CF,1,RC Deportivo,3,"('Bahrain Victorious Nuevo Arcángel', 21822)",Córdoba,False,4
SAB 08.11.2025,18:30,LALIGA HYPERMOTION,RC Deportivo,3,Cultural Leonesa,0,"('Abanca-Riazor', 32490)",La Coruña,True,3
DOM 02.11.2025,21:00,LALIGA HYPERMOTION,Real Zaragoza,0,RC Deportivo,2,"('Ibercaja Estadio', 20103)",Zaragoza,False,2
DOM 26.10.2025,21:00,LALIGA HYPERMOTION,RC Deportivo,1,Real Valladolid,1,"('Abanca-Riazor', 32490)",La Coruña,True,2
DOM 19.10.2025,18:30,LALIGA HYPERMOTION,Racing de Santander,2,RC Deportivo,1,"('El Sardinero', 21514)",Santander,False,3
DOM 12.10.2025,21:00,LALIGA HYPERMOTION,Málaga CF,3,RC Deportivo,0,"('La Rosaleda', 30044)",Málaga,False,3
SAB 04.10.2025,16:15,LALIGA HYPERMOTION,RC Deportivo,1,UD Almería,1,"('Abanca-Riazor', 32490)",La Coruña,True,2
SAB 27.09.2025,18:30,LALIGA HYPERMOTION,SD Eibar,1,RC Deportivo,1,"('Ipurúa', 8164)",Éibar,False,2
VIE 19.09.2025,20:30,LALIGA HYPERMOTION,RC Deportivo,4,SD Huesca,0,"('Abanca-Riazor', 32490)",La Coruña,True,4
SAB 13.09.2025,16:15,LALIGA HYPERMOTION,CD Mirandés,1,RC Deportivo,5,"('Anduva', 5759)",Miranda de Ebro,False,6
